Layer,CNN,CLS-MLP,Mean-embed-MLP,CLS-Ridge,Mean-embed-Ridge,CLS-Linear,Mean-embed-Linear
0,0.3920877563776513,0.3204899311504524,0.3867741037092916,0.32982291729214136,0.380115927290875,0.3297590402233917,0.380116122324017
1,0.40914959202272444,0.3204661803048506,0.41779688835902823,0.3505754225448794,0.4007980117192858,0.3505900166467929,0.400796504089407
2,0.4250988875857076,0.34974027459789947,0.427183676668667,0.3662682398384506,0.41063043731724164,0.36626335658500764,0.4106317998522394
3,0.4220578087209012,0.38078542006140453,0.4397995461364376,0.38389778479517866,0.4217491463743272,0.3839002590352743,0.42175134478005505
4,0.4200093392160025,0.37759101129386474,0.44990667619966546,0.39693557101372845,0.4271235450365904,0.3969361540342273,0.4271245828312453
5,0.45124192832750276,0.38583712393279174,0.4496983018476282,0.40380854424996304,0.4304790600456823,0.4038089979144835,0.43047893377445173
6,0.43554053608233045,0.3690495845510663,0.45135213613671854,0.408474048968676,0.4302370769025293,0.4084756230202107,0.430236485191688
7,0.46098743436053424,0.403742776806151,0.4610672694429444,0.408114811995009,0.4378271257237603,0.4081137841642667,0.4378287749797537
8,0.4647009788114594,0.4323943225962479,0.4660391815138983,0.4165196093275993,0.44493891305558014,0.416520830988005,0.44493938142468714
9,0.47570119089574936,0.41272626940340923,0.4723583884519835,0.4244394069235994,0.44662868837351405,0.4244392735143004,0.44662931106861603
10,0.4769780443116308,0.42514185075002575,0.4720696757118187,0.42668386660244473,0.4472727627460148,0.4266840777641431,0.4472719779901363
11,0.4757203313694122,0.448713606213776,0.47370497970942144,0.4282540866571769,0.44576082785110965,0.4282540299060286,0.4457617573674598
12,0.4711042984127185,0.44730992386775303,0.46713110290182436,0.4306231484382424,0.440968110654193,0.4306227077283404,0.440968503403746
13,0.47451006913479726,0.4250910371553634,0.46874317982495206,0.43117581131406113,0.44102173870158745,0.43117513684131825,0.4410217170069636
14,0.4754376661952211,0.42709850178716535,0.4697201807775454,0.4302985073738242,0.43855173427386296,0.4302995020775775,0.43855173925307556
15,0.45744799280794607,0.3782673849352317,0.4681830929056169,0.4301019018401904,0.4341904661471012,0.43010238169436293,0.43419026168983343
16,0.4500792575534087,0.43426872647744064,0.46372093246152657,0.430671521161093,0.4320864554188413,0.43067057702534883,0.4320861651085582
17,0.45552338312919793,0.4165980559741702,0.45284668823100666,0.4298817923965817,0.4325751241600039,0.4298821922438043,0.43257517755858726
18,0.4491614358286235,0.4069442648858065,0.4626376327927032,0.42932899897205234,0.42886923608099925,0.4293294919834586,0.4288694973463152
19,0.4673942403845036,0.4351747873742291,0.4462157082496747,0.4276414272984691,0.42709890322451166,0.4276420777465325,0.42709926004369514
20,0.43475830091351986,0.4112131484170978,0.4506829202184632,0.42770149556946796,0.425635094368066,0.42770186125866727,0.4256352323228698
21,0.47305218746189676,0.4165853172959778,0.4478197565252687,0.42695329543287625,0.4270425170134167,0.42695364950815207,0.4270425126511007
22,0.451563026218615,0.40745173715194694,0.4526118989384417,0.42662325254476235,0.4249762603137629,0.4266234926995311,0.42497598056682173
23,0.44823739008074126,0.42978179334665373,0.44216674207463713,0.42730938024716436,0.42556576255511297,0.427309509949551,0.4255654690010959
24,0.4511366571216422,0.4199705205946919,0.45313210485709515,0.4269668255412137,0.42251221390786337,0.4269672240345517,0.4225128578532681
25,0.4646316491585927,0.4316871180944245,0.4317143344596232,0.42600408636983017,0.42153756251788194,0.4260042449425059,0.42153767842178813
26,0.43234710881308247,0.42943691076242424,0.4345180741102505,0.42694715353064416,0.41929131428161837,0.4269470357532499,0.41929114832381076
27,0.45682050863436807,0.42429766850677464,0.44152385059628774,0.42805345604450074,0.41923397755119696,0.4280538749961242,0.41923439616297375
28,0.4504089884045848,0.4239558306085893,0.4469251486325424,0.4284821820850351,0.41726483930161085,0.42848231329757197,0.4172653375651432
29,0.4500861829776126,0.4361892754358494,0.4505443878409253,0.42794301373311894,0.41627532522709426,0.4279434739706662,0.4162763871544311
30,0.43541469956525014,0.4242036569772144,0.4351226512412026,0.42794015578474837,0.4180071382106234,0.4279402147595162,0.4180067040918105
31,0.47299686683865344,0.42440706534204875,0.4477578808890827,0.42725035304713666,0.4178155242347289,0.427245443261231,0.41781589260033897
