Layer,CNN,CLS-MLP,Mean-embed-MLP,CLS-Ridge,Mean-embed-Ridge,CLS-Linear,Mean-embed-Linear
0,0.5036103239095552,0.37179080607186377,0.46336217279363984,0.3474966279478067,0.41118115280080036,0.3474656465854393,0.4111794447703624
1,0.5148841526854936,0.404040667346633,0.479417170740112,0.3715711492105197,0.43255998902061377,0.37156364960606897,0.43255859558561444
2,0.5453810949938215,0.42807259936564485,0.48591726237846633,0.38582850167648264,0.4430387150952888,0.38582941157863904,0.4430386860873429
3,0.5117058399998216,0.4482282926570169,0.5011064127247936,0.40300651119812175,0.4532599189963683,0.4030013023109593,0.4532600913416548
4,0.55040972958347,0.45889173517404014,0.503431931278576,0.4247436025512107,0.45759957628929016,0.42474600556636055,0.4575994753700398
5,0.5467844737052066,0.46480101405866875,0.5090536691932278,0.42959420796431386,0.4609001301170862,0.42959498288638137,0.46090006553321694
6,0.5145539337886166,0.4805859996118938,0.5088153970901328,0.43480849718008463,0.46386412241302516,0.43480808754424816,0.4638641902944223
7,0.5766780312656246,0.4827420813528045,0.5307049459733837,0.4360952473528944,0.47727797215766093,0.4360958334920944,0.47727880753245305
8,0.5994951061442039,0.5030787473490912,0.5408629837196217,0.44843320592127306,0.4894070134964814,0.44843405978299555,0.48940616517420393
9,0.5618149619163358,0.513675426025249,0.5434286829398293,0.46017251426266986,0.4909604269602151,0.46017196893413204,0.4909609911201806
10,0.5636088351941491,0.5196885836141149,0.5413242792588491,0.46579487734735,0.4893914475461518,0.465794768769146,0.48939149682715616
11,0.5604418255395368,0.5209924100194488,0.540130133371199,0.46986299308768076,0.4877386478370704,0.4698628318621683,0.48773856697053153
12,0.5536008541944689,0.5262801480283246,0.5377785017922578,0.474733180932573,0.48520188364653566,0.47473304728181787,0.48520180871689406
13,0.5528088006249402,0.5291786860770767,0.5302497444361666,0.47534285157181505,0.4819380694486075,0.4753424353423351,0.4819379703703873
14,0.5511590838916881,0.5204450019274102,0.5330450197154969,0.4736583513685718,0.4800631955690131,0.47365867125269717,0.48006343743212954
15,0.5580872011886555,0.5148174152694244,0.5329966322269227,0.47192875802044465,0.47565261019334343,0.4719287763386539,0.4756517180564673
16,0.5566442220205312,0.510706938235721,0.5226405549654083,0.47103692729342306,0.47474674048741666,0.4710366889447171,0.4747474063436966
17,0.5478728869362326,0.5152902347404434,0.5221461391134112,0.469700357423368,0.4727140841987683,0.4697001483511192,0.472713626823796
18,0.5540853408848521,0.520046345422413,0.5197365718496691,0.4700249123216831,0.4694012782574486,0.4700252121866679,0.4694016130206913
19,0.5440619721377009,0.513028120608719,0.5210293021367463,0.46986702063649316,0.4679556593182641,0.46986681429319566,0.4679548851207272
20,0.5533027526315658,0.5132235637599661,0.5155777066125278,0.46945640108388015,0.467299285835042,0.46945655152752264,0.4672992045226346
21,0.5496991399956744,0.5099643997434194,0.519117552354677,0.4695584535074736,0.4655876218379834,0.4695583375084414,0.4655881721038025
22,0.5472577946931734,0.5073869838407229,0.5197508019481207,0.46958635642067825,0.46547282933246453,0.46958685458597615,0.4654731338905164
23,0.5393471554834324,0.506099406084559,0.5168673434554597,0.4697503426810976,0.4630098233709876,0.46975004081271976,0.46300955166983204
24,0.5486983813507647,0.5082304423025773,0.508382690595439,0.46967923029882735,0.46297754282721065,0.4696790474375656,0.4629773778909155
25,0.5134528326697689,0.5088756219789387,0.5154614050265625,0.4696004814325728,0.4620709238511447,0.4696008162922668,0.46207064390229335
26,0.5452845254969255,0.5093370985365278,0.5203713365674091,0.4697116226377299,0.46164430829332714,0.4697111353222731,0.46164404614080656
27,0.5496541713458601,0.5030784825160678,0.5130628998653204,0.46986191312920367,0.4590985089017006,0.46986177955352226,0.45909880920443163
28,0.5182838624151426,0.5130870437857283,0.5129880357276198,0.471078842244107,0.45804239512650446,0.47107896569580776,0.4580419949443325
29,0.541093412260949,0.5076007834833434,0.5091388779172636,0.4716986631600207,0.45998654460634375,0.47169860855886,0.45998689227986517
30,0.5422541187039646,0.515439506197299,0.5127776188374935,0.47066409482368754,0.4587580014745425,0.470663710854152,0.45875840179321425
31,0.5494930266669773,0.5059088911561925,0.5012340547815273,0.46960920036520276,0.4551461629838651,0.4695844779406075,0.4551467299096769
